FolderServerRelativeURL,Users,Permission
/sites/UX-Portal/Computing/Implementation/Central/Sample Marked Work,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Implementation/Central/Schemes Of Work,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Implementation/Central/Student Induction,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Implementation/Central/Unit - Assessment Plans,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Implementation/Hayes/Assignment Briefs,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Implementation/Hayes/Awarding Body Documentation,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Implementation/Hayes/Communication With Parents,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Implementation/Hayes/Curriculum Specific Resources,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Implementation/Hayes/Directed Learning,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Implementation/Hayes/Employer Engagement,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Implementation/Hayes/Enrichment,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Implementation/Hayes/IV,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Implementation/Hayes/Learning Support,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Implementation/Hayes/Sample Lesson Plans,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Implementation/Hayes/Sample Marked Work,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Implementation/Hayes/Schemes Of Work,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Implementation/Hayes/Student Induction,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Implementation/Hayes/Unit - Assessment Plans,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Implementation/Uxbridge/Assignment Briefs,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Implementation/Uxbridge/Awarding Body Documentation,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Implementation/Uxbridge/Communication With Parents,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Implementation/Uxbridge/Curriculum Specific Resources,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Implementation/Uxbridge/Directed Learning,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Implementation/Uxbridge/Employer Engagement,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Implementation/Uxbridge/Enrichment,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Implementation/Uxbridge/IV,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Implementation/Uxbridge/Learning Support,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Implementation/Uxbridge/Sample Lesson Plans,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Implementation/Uxbridge/Sample Marked Work,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Implementation/Uxbridge/Schemes Of Work,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Implementation/Uxbridge/Student Induction,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Implementation/Uxbridge/Unit - Assessment Plans,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Quality/Academic Board Papers,HCUC Security - All Staff Users,Edit
/sites/UX-Portal/Computing/Quality/Board Of Study,HCUC Security - All Staff Users,Edit
