FolderServerRelativeURL,Users,Permission
/sites/HA-Portal/ESOL English  Maths/School Information/Teaching & Learning Hour         ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/School Information/Organisational Chart             ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/School Information/School Meetings                  ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/School Information/Staff Induction                  ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/School Information/Planning Calendar                ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Working Folder                                      ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/English/Assignment Briefs            ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/English/Awarding Body Documentation  ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/English/Communication With Parents   ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/English/Curriculum Specific Resources,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/English/Directed Learning            ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/English/Employer Engagement          ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/English/Enrichment                   ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/English/IV                           ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/English/Learning Support             ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/English/Sample Lesson Plans          ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/English/Sample Marked Work           ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/English/Schemes Of Work              ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/English/Student Induction            ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/English/Unit - Assessment Plans      ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/ESOL/Assignment Briefs               ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/ESOL/Awarding Body Documentation     ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/ESOL/Communication With Parents      ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/ESOL/Curriculum Specific Resources   ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/ESOL/Directed Learning               ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/ESOL/Employer Engagement             ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/ESOL/Enrichment                      ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/ESOL/IV                              ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/ESOL/Learning Support                ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/ESOL/Sample Lesson Plans             ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/ESOL/Sample Marked Work              ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/ESOL/Schemes Of Work                 ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/ESOL/Student Induction               ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/ESOL/Unit - Assessment Plans         ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/Maths/Assignment Briefs              ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/Maths/Awarding Body Documentation    ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/Maths/Communication With Parents     ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/Maths/Curriculum Specific Resources  ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/Maths/Directed Learning              ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/Maths/Employer Engagement            ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/Maths/Enrichment                     ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/Maths/IV                             ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/Maths/Learning Support               ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/Maths/Sample Lesson Plans            ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/Maths/Sample Marked Work             ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/Maths/Schemes Of Work                ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/Maths/Student Induction              ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/ESOL English  Maths/Implementation/Maths/Unit - Assessment Plans        ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Foundation Learning  Art/Applications/Fact Sheets                    ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Foundation Learning  Art/Applications/Entry Test Materials           ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Foundation Learning  Art/Applications/Marketing                      ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Foundation Learning  Art/Applications/Taster Day Materials           ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Foundation Learning  Art/Impact/Student Voice                        ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Foundation Learning  Art/Impact/Results                              ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Foundation Learning  Art/Impact/Value Added & Progress               ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Foundation Learning  Art/Impact/Destinations                         ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Foundation Learning  Art/Quality/Academic Board Papers               ,HCUC Security - All Staff Users,Edit
/sites/HA-Portal/Foundation Learning  Art/Quality/Board Of Study                      ,HCUC Security - All Staff Users,Edit
